# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
37 2.555 0.014907 0.003125
38 2.625 0.0800283 0.0164063
39 2.695 0.330498 0.0742188
40 2.765 0.530366 0.171875
41 2.835 1.06147 0.377344
42 2.905 1.46066 0.674219
43 2.975 1.98648 1.09766
44 3.045 2.77783 1.71797
45 3.115 2.7012 2.34922
46 3.185 2.74046 3.01875
47 3.255 2.67591 3.70156
48 3.325 2.36785 4.33203
49 3.395 2.03762 4.89766
50 3.465 1.78321 5.41328
51 3.535 1.60426 5.89609
52 3.605 1.31043 6.30625
53 3.675 1.28981 6.72578
54 3.745 1.13796 7.11016
55 3.815 0.960628 7.44688
56 3.885 0.780175 7.73047
57 3.955 0.819166 8.03906
58 4.025 0.834973 8.36484
59 4.095 0.878247 8.71953
60 4.165 0.865805 9.08125
61 4.235 0.794012 9.42422
62 4.305 0.724642 9.74766
63 4.375 0.621985 10.0344
64 4.445 0.668222 10.3523
65 4.515 0.746325 10.7188
66 4.585 0.799322 11.1234
67 4.655 0.78744 11.5344
68 4.725 0.752657 11.9391
69 4.795 0.692749 12.3227
70 4.865 0.834686 12.7984
71 4.935 0.824495 13.282
72 5.005 0.801594 13.7656
73 5.075 0.855204 14.2961
74 5.145 0.894591 14.8664
75 5.215 0.926798 15.4734
76 5.285 1.05688 16.1844
77 5.355 1.11993 16.9578
78 5.425 1.14412 17.7688
79 5.495 1.17639 18.6242
80 5.565 1.17003 19.4969
81 5.635 1.17792 20.3977
82 5.705 1.10733 21.2656
83 5.775 1.09524 22.1453
84 5.845 1.16411 23.1031
85 5.915 1.07553 24.0094
86 5.985 1.08584 24.9461
87 6.055 1.11485 25.9305
88 6.125 1.09816 26.9227
89 6.195 1.11744 27.9555
90 6.265 1.07277 28.9695
91 6.335 1.08314 30.0164
92 6.405 1.0596 31.0633
93 6.475 1.01283 32.0859
94 6.545 0.964773 33.0812
95 6.615 0.894793 34.0242
96 6.685 0.900833 34.9937
97 6.755 0.889369 35.9711
98 6.825 0.954789 37.0422
99 6.895 0.949831 38.1297
100 6.965 1.00239 39.3008
400 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0.00626732 0.00078125
34 2.345 0 0.00078125
35 2.415 0.0111236 0.00234375
36 2.485 0.0210115 0.00546875
37 2.555 0.0596282 0.0148437
38 2.625 0.221255 0.0515625
39 2.695 0.549341 0.147656
40 2.765 0.818885 0.298438
41 2.835 1.40856 0.571094
42 2.905 1.84889 0.946875
43 2.975 2.04146 1.38203
44 3.045 2.36501 1.91016
45 3.115 2.52401 2.5
46 3.185 2.71168 3.1625
47 3.255 2.70959 3.85391
48 3.325 2.39719 4.49219
49 3.395 2.26558 5.12109
50 3.465 1.84265 5.65391
51 3.535 1.60426 6.13672
52 3.605 1.39779 6.57422
53 3.675 1.19373 6.9625
54 3.745 0.936737 7.27891
55 3.815 0.960628 7.61562
56 3.885 0.999398 7.97891
57 3.955 0.951892 8.3375
58 4.025 0.865008 8.675
59 4.095 0.800868 8.99844
60 4.165 0.807835 9.33594
61 4.235 0.723473 9.64844
62 4.305 0.621372 9.92578
63 4.375 0.706724 10.2516
64 4.445 0.671506 10.5711
65 4.515 0.701768 10.9156
66 4.585 0.649642 11.2445
67 4.655 0.724564 11.6227
68 4.725 0.69599 11.9969
69 4.795 0.82114 12.4516
70 4.865 0.853874 12.9383
71 4.935 0.956361 13.4992
72 5.005 0.999727 14.1023
73 5.075 0.997529 14.7211
74 5.145 1.02204 15.3727
75 5.215 1.09737 16.0914
76 5.285 1.07546 16.8148
77 5.355 1.1335 17.5977
78 5.425 1.16616 18.4242
79 5.495 1.24407 19.3289
80 5.565 1.19621 20.2211
81 5.635 1.30358 21.218
82 5.705 1.33657 22.2656
83 5.775 1.29464 23.3055
84 5.845 1.1831 24.2789
85 5.915 1.1599 25.2563
86 5.985 1.11844 26.2211
87 6.055 1.11927 27.2094
88 6.125 1.06098 28.168
89 6.195 0.987267 29.0805
90 6.265 0.959544 29.9875
91 6.335 0.973213 30.9281
92 6.405 1.04378 31.9594
93 6.475 0.981103 32.95
94 6.545 1.04353 34.0266
95 6.615 1.04158 35.1242
96 6.685 0.973422 36.1719
97 6.755 0.929892 37.1938
98 6.825 0.961057 38.2719
99 6.895 0.88296 39.2828
100 6.965 0.918798 40.3563
500 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0.0125346 0.0015625
34 2.345 0.0176963 0.00390625
35 2.415 0.0166854 0.00625
36 2.485 0.0577817 0.0148437
37 2.555 0.228575 0.0507812
38 2.625 0.376604 0.113281
39 2.695 0.6208 0.221875
40 2.765 1.11165 0.426563
41 2.835 1.68705 0.753125
42 2.905 1.93345 1.14609
43 2.975 2.4043 1.65859
44 3.045 2.3895 2.19219
45 3.115 2.32343 2.73516
46 3.185 2.58377 3.36641
47 3.255 2.29626 3.95234
48 3.325 2.30036 4.56484
49 3.395 2.02636 5.12734
50 3.465 1.82644 5.65547
51 3.535 1.62503 6.14453
52 3.605 1.56753 6.63516
53 3.675 1.13849 7.00547
54 3.745 1.16803 7.4
55 3.815 0.95617 7.73516
56 3.885 0.909129 8.06563
57 3.955 0.924932 8.41406
58 4.025 0.90105 8.76562
59 4.095 0.756376 9.07109
60 4.165 0.820925 9.41406
61 4.235 0.750603 9.73828
62 4.305 0.679133 10.0414
63 4.375 0.694861 10.3617
64 4.445 0.724044 10.7063
65 4.515 0.639707 11.0203
66 4.585 0.686676 11.368
67 4.655 0.705103 11.7359
68 4.725 0.810778 12.1719
69 4.795 0.878987 12.6586
70 4.865 0.963521 13.2078
71 4.935 0.988329 13.7875
72 5.005 1.04376 14.4172
73 5.075 1.04035 15.0625
74 5.145 1.1066 15.768
75 5.215 1.2083 16.5594
76 5.285 1.17766 17.3516
77 5.355 1.17649 18.1641
78 5.425 1.21356 19.0242
79 5.495 1.23226 19.9203
80 5.565 1.31772 20.9031
81 5.635 1.25352 21.8617
82 5.705 1.2369 22.8313
83 5.775 1.26643 23.8484
84 5.845 1.24197 24.8703
85 5.915 1.24242 25.9172
86 5.985 1.18093 26.9359
87 6.055 1.14582 27.9477
88 6.125 1.08865 28.9312
89 6.195 1.1428 29.9875
90 6.265 1.14302 31.068
91 6.335 1.00312 32.0375
92 6.405 0.986059 33.0117
93 6.475 0.971044 33.9922
94 6.545 0.938268 34.9602
95 6.615 0.994132 36.0078
96 6.685 0.982133 37.0648
97 6.755 0.934868 38.0922
98 6.825 0.92554 39.1305
99 6.895 0.977124 40.2492
100 6.965 0.99503 41.4117
600 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0.0200146 0.00234375
33 2.275 0.0125346 0.00390625
34 2.345 0.0294938 0.0078125
35 2.415 0.00556179 0.00859375
36 2.485 0.0735403 0.0195312
37 2.555 0.134163 0.040625
38 2.625 0.44251 0.114062
39 2.695 0.629733 0.224219
40 2.765 1.12862 0.432031
41 2.835 1.66687 0.754687
42 2.905 2.30246 1.22266
43 2.975 2.65719 1.78906
44 3.045 2.53643 2.35547
45 3.115 2.56413 2.95469
46 3.185 2.55819 3.57969
47 3.255 2.13706 4.125
48 3.325 2.25635 4.72578
49 3.395 2.0151 5.28516
50 3.465 1.72107 5.78281
51 3.535 1.60945 6.26719
52 3.605 1.30045 6.67422
53 3.675 1.21535 7.06953
54 3.745 1.10789 7.44375
55 3.815 0.933882 7.77109
56 3.885 0.902682 8.09922
57 3.955 0.825388 8.41016
58 4.025 0.758884 8.70625
59 4.095 0.686735 8.98359
60 4.165 0.813445 9.32344
61 4.235 0.69996 9.62578
62 4.305 0.665131 9.92266
63 4.375 0.621985 10.2094
64 4.445 0.76509 10.5734
65 4.515 0.744733 10.9391
66 4.585 0.825555 11.357
67 4.655 0.814386 11.782
68 4.725 0.883428 12.257
69 4.795 0.914259 12.7633
70 4.865 0.944333 13.3016
71 4.935 1.02163 13.9008
72 5.005 1.15253 14.5961
73 5.075 1.14741 15.3078
74 5.145 1.25365 16.107
75 5.215 1.12599 16.8445
76 5.285 1.20089 17.6523
77 5.355 1.16404 18.4563
78 5.425 1.23119 19.3289
79 5.495 1.16135 20.1734
80 5.565 1.31458 21.1539
81 5.635 1.28212 22.1344
82 5.705 1.24188 23.1078
83 5.775 1.25087 24.1125
84 5.845 1.27426 25.1609
85 5.915 1.31567 26.2695
86 5.985 1.2416 27.3406
87 6.055 1.20333 28.4031
88 6.125 1.20019 29.4875
89 6.195 1.16984 30.5688
90 6.265 1.12484 31.632
91 6.335 0.985338 32.5844
92 6.405 0.948894 33.5219
