# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
76 5.285 1.1614 17.5828
77 5.355 1.15499 18.3805
78 5.425 1.21466 19.2414
79 5.495 1.2054 20.118
80 5.565 1.22135 21.0289
81 5.635 1.30153 22.0242
82 5.705 1.42926 23.1445
83 5.775 1.22849 24.1313
84 5.845 1.22203 25.1367
85 5.915 1.29064 26.2242
86 5.985 1.2407 27.2945
87 6.055 1.2051 28.3586
88 6.125 1.20192 29.4445
89 6.195 1.25353 30.6031
90 6.265 1.21988 31.7563
91 6.335 1.14862 32.8664
92 6.405 1.12681 33.9797
93 6.475 1.05229 35.0422
94 6.545 1.08897 36.1656
95 6.615 1.02082 37.2414
96 6.685 0.937127 38.25
97 6.755 0.954063 39.2984
98 6.825 1.00493 40.4258
99 6.895 0.956654 41.5211
100 6.965 0.989012 42.6766
