Time MSD(H) 
0.0 1.5570865948605138e-30 
2.0 0.3420043406113281 
4.0 1.098271360292609 
6.0 2.019536671508304 
8.0 2.942557015989029 
10.0 3.75002449331894 
12.0 4.485019516111268 
14.0 5.385641677277286 
16.0 6.3335435169970875 
18.0 7.177289421149679 
