################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7116592219741449E+00 a       503     0    26     1     3
  6.1701219318457047E-02 a       504     0    26     1     4
 -1.3879704002073404E-01 a       505     0    26     1     5
  1.0172201408236330E+00 a       506     0    26     1     6
  8.8082775926004789E-02 a       507     0    26     1     7
  5.0155572310873364E-01 a       508     0    26     1     8
 -1.9844813378175086E-01 a       509     0    26     1     9
 -7.0145223077001584E-01 a       510     0    26     1    10
  7.0477851488586193E-02 a       511     0    26     1    11
 -7.1472117162352988E-01 a       512     0    26     1    12
  7.3470938381368356E-01 a       513     0    26     1    13
  2.2208208257241591E+00 a       514     0    26     1    14
  9.4048044854865576E-01 a       515     0    26     1    15
  1.2353558968390190E+00 a       516     0    26     1    16
 -1.1111231410465652E-01 a       517     0    26     1    17
  4.5641443270766685E-01 a       518     0    26     1    18
 -4.8285611590809002E-01 a       519     0    26     1    19
 -2.2130354669485022E-01 a       520     0    26     1    20
  4.5262286003515656E-01 a       521     0    27     1     1
 -6.1528554603807450E-01 a       522     0    27     1     2
  2.2632690270774094E+00 a       523     0    27     1     3
  6.8332533449344235E-01 a       524     0    27     1     4
  7.5783411481637908E-01 a       525     0    27     1     5
 -1.9728922893803619E-01 a       526     0    27     1     6
  3.9249582472491734E-01 a       527     0    27     1     7
  3.8647607684058138E-01 a       528     0    27     1     8
  1.2724644943309935E-01 a       529     0    27     1     9
  5.0411863295572033E-02 a       530     0    27     1    10
  6.8666390755995554E-01 a       531     0    27     1    11
  8.8950966345837001E-01 a       532     0    27     1    12
 -1.0453539117492174E+00 a       533     0    27     1    13
 -3.1391059079486370E+00 a       534     0    27     1    14
 -8.0955973498802276E+00 a       535     0    27     1    15
  3.6180359650480804E+00 a       536     0    27     1    16
 -6.9206687556984436E-01 a       537     0    27     1    17
  1.4601906254180779E+00 a       538     0    27     1    18
  7.4437298679283026E-01 a       539     0    27     1    19
 -2.3796032887735521E-01 a       540     0    27     1    20
 -1.8048174218175821E+00 a       541     0    28     1     1
  1.2500365048764472E+00 a       542     0    28     1     2
  2.2251536090508730E+00 a       543     0    28     1     3
  1.0939212073980706E+00 a       544     0    28     1     4
  3.9265995432229595E+00 a       545     0    28     1     5
  8.7364889232280274E-01 a       546     0    28     1     6
  6.6399133832214063E-01 a       547     0    28     1     7
 -1.0630543042158438E+00 a       548     0    28     1     8
 -4.5201085090003373E-01 a       549     0    28     1     9
 -1.0601089882640271E+00 a       550     0    28     1    10
 -2.3056331961490999E+00 a       551     0    28     1    11
 -2.8935486449758485E-01 a       552     0    28     1    12
 -2.8686354912046080E-01 a       553     0    28     1    13
 -2.4659606182139262E+00 a       554     0    28     1    14
 -6.1702799367622143E+00 a       555     0    28     1    15
  2.0481461432535295E+00 a       556     0    28     1    16
  3.0965675764649225E-01 a       557     0    28     1    17
  3.9409429707828871E+00 a       558     0    28     1    18
 -1.9594814680878798E+00 a       559     0    28     1    19
  4.5398284871772721E-02 a       560     0    28     1    20
 -5.6155932175059664E-01 a       561     0    29     1     1
  3.3041100615360242E-01 a       562     0    29     1     2
  1.0876771372690595E+00 a       563     0    29     1     3
  1.3328178568032127E+00 a       564     0    29     1     4
  1.5749975741163387E+00 a       565     0    29     1     5
 -7.9881012367263071E-01 a       566     0    29     1     6
  3.3380632991643200E-01 a       567     0    29     1     7
 -3.4249486289440251E-01 a       568     0    29     1     8
 -1.2107492500402105E-01 a       569     0    29     1     9
 -1.9328449864805441E-01 a       570     0    29     1    10
 -1.3143868470631719E+00 a       571     0    29     1    11
  5.9178172521873218E-01 a       572     0    29     1    12
 -1.2761138961632015E+00 a       573     0    29     1    13
 -3.5277029462972431E-01 a       574     0    29     1    14
  2.6321435420867578E+00 a       575     0    29     1    15
  8.2292956937537687E-01 a       576     0    29     1    16
 -6.4781571324433007E-01 a       577     0    29     1    17
  1.2300899221679946E+00 a       578     0    29     1    18
 -5.4623767591607730E-01 a       579     0    29     1    19
  2.7676087202418723E-02 a       580     0    29     1    20
 -3.1370087398129926E-01 a       581     0    30     1     1
  3.1968777696006540E-01 a       582     0    30     1     2
 -1.0585074797566898E+00 a       583     0    30     1     3
 -4.8075423031086323E-01 a       584     0    30     1     4
 -4.2016660578887755E-01 a       585     0    30     1     5
  6.0481529291322145E-01 a       586     0    30     1     6
 -3.4555773669498668E-01 a       587     0    30     1     7
 -9.9835712689906167E-02 a       588     0    30     1     8
  1.5576562229994639E-01 a       589     0    30     1     9
 -5.6468990320452683E-01 a       590     0    30     1    10
  3.4057592479689269E-01 a       591     0    30     1    11
 -9.5595581931917406E-01 a       592     0    30     1    12
  1.1914811097539557E+00 a       593     0    30     1    13
  8.8722243250082866E-01 a       594     0    30     1    14
 -1.6966642444629507E+00 a       595     0    30     1    15
 -1.6025497947243423E+00 a       596     0    30     1    16
  4.7511283160028561E-01 a       597     0    30     1    17
 -5.2378634808367719E-01 a       598     0    30     1    18
 -3.2676538516735798E-01 a       599     0    30     1    19
  3.8486263628550205E-01 a       600     0    30     1    20
 -3.5135189196952538E-01 a       601     0    31     1     1
  3.4428054352430815E-01 a       602     0    31     1     2
 -1.5128940209463657E+00 a       603     0    31     1     3
 -6.9147786660093935E-01 a       604     0    31     1     4
 -1.2441245656024111E+00 a       605     0    31     1     5
  6.7658332157523648E-01 a       606     0    31     1     6
 -2.3294299795836679E-02 a       607     0    31     1     7
 -1.2379461689575012E-01 a       608     0    31     1     8
  2.9142939748355204E-02 a       609     0    31     1     9
 -5.4976518819695874E-01 a       610     0    31     1    10
  1.6889212194387260E-01 a       611     0    31     1    11
 -1.8748875552476527E+00 a       612     0    31     1    12
  2.2440702030516859E+00 a       613     0    31     1    13
  2.2970053843367224E+00 a       614     0    31     1    14
 -2.8264613353314285E+00 a       615     0    31     1    15
 -3.3070912049009569E+00 a       616     0    31     1    16
  8.3297883561634989E-01 a       617     0    31     1    17
 -1.6598855227890408E+00 a       618     0    31     1    18
 -2.0008416922473818E-01 a       619     0    31     1    19
  5.2476539016052792E-01 a       620     0    31     1    20
  1.4943633192644393E-01 a       621     0    32     1     1
 -3.3982266705351238E-01 a       622     0    32     1     2
 -4.9086363670031047E-01 a       623     0    32     1     3
  3.8877957090323878E-01 a       624     0    32     1     4
 -5.8809104748465169E-01 a       625     0    32     1     5
 -4.1464587981433448E-01 a       626     0    32     1     6
 -2.3500829430759113E-01 a       627     0    32     1     7
  4.7102775787091128E-01 a       628     0    32     1     8
  2.3478893370471568E-01 a       629     0    32     1     9
  1.2815969446210012E+00 a       630     0    32     1    10
  5.2974338330787274E-01 a       631     0    32     1    11
  3.1157588269894276E-01 a       632     0    32     1    12
 -6.0826906768201361E-01 a       633     0    32     1    13
  6.5577900454459004E-01 a       634     0    32     1    14
  1.9648211931870444E-02 a       635     0    32     1    15
  1.3591233511002751E-01 a       636     0    32     1    16
 -2.8214143629450594E-01 a       637     0    32     1    17
 -8.8639845186828237E-01 a       638     0    32     1    18
  1.6204643313539174E-01 a       639     0    32     1    19
 -4.9981603119752993E-01 a       640     0    32     1    20
 -1.8721147768978100E-01 a       641     0    33     1     1
 -6.0562997828082159E-02 a       642     0    33     1     2
 -2.3552955033874753E-01 a       643     0    33     1     3
  9.9117374529707736E-01 a       644     0    33     1     4
  4.5781809055183859E-01 a       645     0    33     1     5
 -2.9703765924334363E-01 a       646     0    33     1     6
 -1.1047683492469133E-01 a       647     0    33     1     7
  1.5790141517810080E-02 a       648     0    33     1     8
 -3.2285999023530026E-01 a       649     0    33     1     9
  6.3218534915604530E-01 a       650     0    33     1    10
 -3.7268861694147742E-01 a       651     0    33     1    11
 -1.3826274591649629E-01 a       652     0    33     1    12
 -7.4060453813007576E-01 a       653     0    33     1    13
  6.5168463372071961E-01 a       654     0    33     1    14
  2.2603504939050914E-01 a       655     0    33     1    15
  2.8242704262073320E-01 a       656     0    33     1    16
 -5.5578263331321831E-01 a       657     0    33     1    17
  1.3862549184432438E-01 a       658     0    33     1    18
 -3.3189259823898165E-01 a       659     0    33     1    19
 -5.1465142221120745E-02 a       660     0    33     1    20
  1.3239869755330369E-01 a       661     0    34     1     1
 -1.6432726314766261E-01 a       662     0    34     1     2
  2.8545630917042808E-01 a       663     0    34     1     3
 -5.3849415430786779E-02 a       664     0    34     1     4
 -4.6613999472843455E-02 a       665     0    34     1     5
 -1.8807028978551976E-01 a       666     0    34     1     6
  2.2634755573476847E-01 a       667     0    34     1     7
  1.4272786095041157E-01 a       668     0    34     1     8
  2.6450088584435894E-01 a       669     0    34     1     9
  1.6328427609084872E-02 a       670     0    34     1    10
 -3.6824996799911786E-01 a       671     0    34     1    11
  2.0014204606517363E-01 a       672     0    34     1    12
  1.7921435802689603E-01 a       673     0    34     1    13
 -3.0968246912650484E-02 a       674     0    34     1    14
  3.5266652276981447E-01 a       675     0    34     1    15
  1.0643283195539198E-01 a       676     0    34     1    16
  1.4130932197811488E-01 a       677     0    34     1    17
  3.5570634989149952E-01 a       678     0    34     1    18
  2.0060369000071482E-01 a       679     0    34     1    19
 -1.9103064184517682E-01 a       680     0    34     1    20
  7.3620293625506442E-02 a       681     0    35     1     1
  1.9212991295643336E-01 a       682     0    35     1     2
 -3.3005822866220641E-01 a       683     0    35     1     3
 -4.9314967594323222E-01 a       684     0    35     1     4
  8.7276734266091882E-01 a       685     0    35     1     5
 -1.4883620700038829E-02 a       686     0    35     1     6
  1.6288228289805878E-01 a       687     0    35     1     7
 -7.1358528815541289E-01 a       688     0    35     1     8
 -1.2132928719322565E-01 a       689     0    35     1     9
 -6.9672945929409613E-01 a       690     0    35     1    10
 -1.4663248659924893E-01 a       691     0    35     1    11
 -3.9230707857509073E-01 a       692     0    35     1    12
  7.4123376068901115E-01 a       693     0    35     1    13
  3.1164502809846051E-01 a       694     0    35     1    14
 -1.4569188318037150E+00 a       695     0    35     1    15
 -2.8612300117574794E-02 a       696     0    35     1    16
  3.5118438265314200E-01 a       697     0    35     1    17
  2.8335630418064806E-01 a       698     0    35     1    18
 -2.8202242504266412E-01 a       699     0    35     1    19
  6.3161795125539044E-01 a       700     0    35     1    20
 -2.6821733584445184E-01 a       701     0    36     1     1
  1.2790527115193578E-01 a       702     0    36     1     2
 -4.4940758233651505E-02 a       703     0    36     1     3
  2.3710094227734402E-01 a       704     0    36     1     4
 -1.6108986159129576E-01 a       705     0    36     1     5
  3.2035540979367183E-01 a       706     0    36     1     6
 -3.8519399128455561E-02 a       707     0    36     1     7
  4.3086220880163416E-02 a       708     0    36     1     8
 -7.3676304862071440E-02 a       709     0    36     1     9
  2.5458584906555826E-01 a       710     0    36     1    10
  1.1135472017862290E-01 a       711     0    36     1    11
  1.4596625605964841E-01 a       712     0    36     1    12
  7.2339013412730455E-02 a       713     0    36     1    13
  3.2894814752264984E-01 a       714     0    36     1    14
 -1.3647263754121830E-01 a       715     0    36     1    15
 -1.4931658458334490E-01 a       716     0    36     1    16
  2.2652362633832110E-01 a       717     0    36     1    17
  7.7452974008443129E-02 a       718     0    36     1    18
 -7.4882514356604896E-02 a       719     0    36     1    19
 -6.9421472563927680E-02 a       720     0    36     1    20
 -2.0189377798344739E-02 a       721     0    37     1     1
 -7.6855093953804382E-02 a       722     0    37     1     2
 -4.1334853357382467E-01 a       723     0    37     1     3
 -7.0652393230185995E-01 a       724     0    37     1     4
 -6.8252369837464077E-01 a       725     0    37     1     5
  1.0681891401283397E-01 a       726     0    37     1     6
 -2.7704374077474914E-01 a       727     0    37     1     7
 -1.0067350131562931E-01 a       728     0    37     1     8
  2.0546065159067878E-01 a       729     0    37     1     9
 -2.6695964752420204E-01 a       730     0    37     1    10
  2.2747540598735176E-02 a       731     0    37     1    11
 -3.2622291520806301E-01 a       732     0    37     1    12
  7.2969786454035257E-01 a       733     0    37     1    13
  3.2965213634062011E-02 a       734     0    37     1    14
 -1.4291654762689439E+00 a       735     0    37     1    15
 -4.4449148015248718E-01 a       736     0    37     1    16
  1.0682363241440597E-01 a       737     0    37     1    17
 -5.5928120955030047E-01 a       738     0    37     1    18
 -1.6434283444986333E-01 a       739     0    37     1    19
  2.0717881181714795E-01 a       740     0    37     1    20
 -8.2178058157415260E-02 a       741     0    38     1     1
  2.7344107522525407E-01 a       742     0    38     1     2
  4.3279059692803837E-02 a       743     0    38     1     3
 -3.1142988305549074E-01 a       744     0    38     1     4
 -2.1319712606593683E-01 a       745     0    38     1     5
  3.0771754774825905E-01 a       746     0    38     1     6
  1.5346421351734349E-01 a       747     0    38     1     7
 -1.4633647771323602E-01 a       748     0    38     1     8
 -8.2291382771626037E-02 a       749     0    38     1     9
  3.6885652042915849E-02 a       750     0    38     1    10
  8.8923979740577766E-02 a       751     0    38     1    11
 -2.6552195482428120E-01 a       752     0    38     1    12
 -2.4660373908174568E-01 a       753     0    38     1    13
  3.1612933513032143E-01 a       754     0    38     1    14
 -3.5485229112024713E-01 a       755     0    38     1    15
 -3.4948333463884146E-01 a       756     0    38     1    16
 -1.8706115438279255E-01 a       757     0    38     1    17
  2.9767342786777864E-02 a       758     0    38     1    18
 -1.7323728213155354E-03 a       759     0    38     1    19
  3.2344239645568956E-02 a       760     0    38     1    20
  1.6857221450553214E-01 a       761     0    39     1     1
 -1.0813785172152270E-01 a       762     0    39     1     2
 -8.5557453198285657E-02 a       763     0    39     1     3
 -4.2241089420599198E-01 a       764     0    39     1     4
  6.3430639014614737E-02 a       765     0    39     1     5
 -1.0228152218643322E-01 a       766     0    39     1     6
 -2.3541303984937134E-01 a       767     0    39     1     7
 -1.2884320242385081E-01 a       768     0    39     1     8
 -2.3507124856568307E-01 a       769     0    39     1     9
 -1.2833189399273692E-01 a       770     0    39     1    10
 -1.5588863098363348E-01 a       771     0    39     1    11
 -2.7871579077197733E-01 a       772     0    39     1    12
 -8.9406372936150866E-03 a       773     0    39     1    13
  2.1375450779126756E-01 a       774     0    39     1    14
 -3.2057245899113013E-01 a       775     0    39     1    15
 -3.8209168040785241E-01 a       776     0    39     1    16
  1.3605275071440995E-01 a       777     0    39     1    17
 -5.8218650882989106E-03 a       778     0    39     1    18
 -2.6433707624162833E-01 a       779     0    39     1    19
  1.2660279203739264E-01 a       780     0    39     1    20
 -9.2297825976551534E-02 a       781     0    40     1     1
 -1.6090656960060834E-01 a       782     0    40     1     2
  1.3737847577468126E-01 a       783     0    40     1     3
  8.2376513006351945E-02 a       784     0    40     1     4
  1.8807585932389823E-02 a       785     0    40     1     5
 -1.1420317070967226E-01 a       786     0    40     1     6
  1.1734302527413573E-01 a       787     0    40     1     7
  4.3351919606652627E-02 a       788     0    40     1     8
 -1.2243526189561971E-01 a       789     0    40     1     9
  1.2294790802561054E-01 a       790     0    40     1    10
  3.0265314271778437E-01 a       791     0    40     1    11
 -6.4909631679086380E-02 a       792     0    40     1    12
 -3.8675844328155899E-02 a       793     0    40     1    13
 -1.4838692616978092E-02 a       794     0    40     1    14
 -1.7092897556876055E-02 a       795     0    40     1    15
  1.2617007717539366E-01 a       796     0    40     1    16
  2.4000498934859130E-01 a       797     0    40     1    17
  1.3572264857000341E-01 a       798     0    40     1    18
 -1.1148663680521462E-02 a       799     0    40     1    19
  1.0890984068824874E-01 a       800     0    40     1    20
  4.2688993048430948E-02 a       801     0    41     1     1
  2.0807229911172428E-01 a       802     0    41     1     2
  7.6706392873463924E-02 a       803     0    41     1     3
 -3.1014403304931060E-01 a       804     0    41     1     4
 -3.0758470932600285E-01 a       805     0    41     1     5
  2.2960576766972141E-01 a       806     0    41     1     6
 -2.1935572295124978E-01 a       807     0    41     1     7
 -3.7868228973137311E-02 a       808     0    41     1     8
  1.8444618177092906E-01 a       809     0    41     1     9
 -2.7475236622081501E-02 a       810     0    41     1    10
 -6.6366367984154073E-02 a       811     0    41     1    11
 -3.0145952273251665E-02 a       812     0    41     1    12
  2.7610138236264498E-01 a       813     0    41     1    13
 -2.2234802556782875E-02 a       814     0    41     1    14
  7.6647767115408990E-03 a       815     0    41     1    15
 -2.5202782734385332E-01 a       816     0    41     1    16
  2.6949060576028816E-01 a       817     0    41     1    17
 -1.2187205855366688E-01 a       818     0    41     1    18
  8.0269488171585524E-02 a       819     0    41     1    19
  1.2181739955730320E-01 a       820     0    41     1    20
 -2.5535257022450915E-02 a       821     0    42     1     1
  2.5649743347410980E-01 a       822     0    42     1     2
 -2.5006862089045362E-01 a       823     0    42     1     3
  6.3157158046108636E-02 a       824     0    42     1     4
 -5.9322873482603747E-02 a       825     0    42     1     5
  2.2028591654496407E-01 a       826     0    42     1     6
 -2.5785389246007340E-04 a       827     0    42     1     7
 -8.5661989005801825E-02 a       828     0    42     1     8
 -2.4497672306563611E-01 a       829     0    42     1     9
  1.0317435281828483E-01 a       830     0    42     1    10
  6.1793776466819291E-03 a       831     0    42     1    11
  2.7581517163498903E-01 a       832     0    42     1    12
 -9.3074808891350780E-02 a       833     0    42     1    13
 -1.2004641028847725E-01 a       834     0    42     1    14
 -7.9611326403093555E-02 a       835     0    42     1    15
 -1.5331008565945181E-01 a       836     0    42     1    16
 -3.4523177281064098E-02 a       837     0    42     1    17
 -3.1033763753824573E-01 a       838     0    42     1    18
  6.6741620159216516E-02 a       839     0    42     1    19
 -1.8805159333376946E-02 a       840     0    42     1    20
 -7.1340423402609974E-05 a       841     0    43     1     1
  8.1982780805140570E-02 a       842     0    43     1     2
  8.3620905169301957E-02 a       843     0    43     1     3
  1.2433527197192306E-02 a       844     0    43     1     4
 -1.7510602442198586E-01 a       845     0    43     1     5
 -9.8521888197815322E-02 a       846     0    43     1     6
 -1.8633326931345393E-01 a       847     0    43     1     7
 -2.5750703086204685E-01 a       848     0    43     1     8
 -2.6378201943213242E-01 a       849     0    43     1     9
  1.1912704053796652E-01 a       850     0    43     1    10
 -1.8277847170325981E-01 a       851     0    43     1    11
  1.3777051644962993E-01 a       852     0    43     1    12
 -3.6211406824890910E-03 a       853     0    43     1    13
  2.4807172890675758E-01 a       854     0    43     1    14
 -3.0137193115659278E-01 a       855     0    43     1    15
 -1.2876512190861952E-01 a       856     0    43     1    16
  2.6435027866006516E-01 a       857     0    43     1    17
  9.6363634451541544E-02 a       858     0    43     1    18
  3.2343017041987415E-02 a       859     0    43     1    19
 -2.4539317413426250E-02 a       860     0    43     1    20
 -4.7456748589912201E-01 a       861     0    44     1     1
 -1.3792885190682280E+00 a       862     0    44     1     2
 -3.5801476233439828E+00 a       863     0    44     1     3
 -3.4475521645003910E+00 a       864     0    44     1     4
 -2.5005554155643903E+00 a       865     0    44     1     5
  2.1451792880000528E-01 a       866     0    44     1     6
 -1.2339863255146259E+00 a       867     0    44     1     7
  1.3958411578245025E+00 a       868     0    44     1     8
  1.0415717547296821E+00 a       869     0    44     1     9
  7.0749181454298538E-01 a       870     0    44     1    10
  4.9590592451030320E+00 a       871     0    44     1    11
 -1.6327931107490470E+00 a       872     0    44     1    12
  3.9042804266850668E+00 a       873     0    44     1    13
  1.7446750545683418E+00 a       874     0    44     1    14
  8.2715151187186109E+00 a       875     0    44     1    15
  2.6773661824137247E+00 a       876     0    44     1    16
  1.9189534454500756E+00 a       877     0    44     1    17
 -1.0076986286518645E+00 a       878     0    44     1    18
  2.7548355882163600E+00 a       879     0    44     1    19
  6.6786085423618402E-01 a       880     0    44     1    20
 -2.9559801640756063E-02 a       881     0    45     1     1
  5.3221222881051758E-02 a       882     0    45     1     2
 -6.6002729362348897E-02 a       883     0    45     1     3
 -5.8633438098152291E-01 a       884     0    45     1     4
  1.0403794660465589E-01 a       885     0    45     1     5
  4.8694482083517898E-02 a       886     0    45     1     6
  2.2906515431581639E-01 a       887     0    45     1     7
 -1.3267116176528401E-01 a       888     0    45     1     8
  1.0404094051411331E-01 a       889     0    45     1     9
 -5.4496108924871345E-01 a       890     0    45     1    10
  3.7580868882322621E-02 a       891     0    45     1    11
 -3.9099997649274493E-01 a       892     0    45     1    12
  5.9068832561339590E-01 a       893     0    45     1    13
  1.4161117929531444E-01 a       894     0    45     1    14
 -4.8988958438064523E-01 a       895     0    45     1    15
 -1.9534626761197921E-01 a       896     0    45     1    16
  1.2182347262251778E-01 a       897     0    45     1    17
 -3.8174447495161572E-02 a       898     0    45     1    18
 -1.5867344608926040E-01 a       899     0    45     1    19
  1.4723582310379815E-01 a       900     0    45     1    20
  2.9613371848557866E-02 b       901     1     1
 -6.1384749268241212E-01 b       902     1     2
  8.1064198627939899E-02 b       903     1     3
  8.7157590215313585E-01 b       904     1     4
 -2.9609926006278546E+00 b       905     1     5
  2.8699051844896500E-01 b       906     1     6
 -3.0183444946992710E-01 b       907     1     7
  8.3001254770411970E-01 b       908     1     8
  5.4673456995500663E-02 b       909     1     9
  1.5000164030049070E+00 b       910     1    10
  6.6944803916586482E-01 b       911     1    11
  1.8005839922696962E+00 b       912     1    12
 -2.8570834350254839E+00 b       913     1    13
 -4.6769313248266753E-01 b       914     1    14
  6.6966506084689268E+00 b       915     1    15
 -4.8718778480342859E+00 b       916     1    16
 -8.0906074704012354E-01 b       917     1    17
 -2.8213908887826116E+00 b       918     1    18
  6.9690856553885316E-01 b       919     1    19
 -7.2750016458970690E-01 b       920     1    20
  4.3558502643755254E-01 a       921     1     1     2     1
 -1.7620684874986581E-01 a       922     1     1     2     2
  4.4150357657177036E-01 a       923     1     1     2     3
 -9.5248628372458721E-01 a       924     1     1     2     4
 -4.9825343861197291E-01 a       925     1     1     2     5
 -1.7909491375869832E-01 a       926     1     1     2     6
 -1.9544294361651390E-01 a       927     1     1     2     7
  1.6108708329444590E-01 a       928     1     1     2     8
 -2.5496294164719752E-01 a       929     1     1     2     9
  7.6692660605623497E-01 a       930     1     1     2    10
  3.3164055883784932E-02 a       931     1     1     2    11
  4.7881832182403855E-01 a       932     1     1     2    12
  1.2486013807035288E+00 a       933     1     1     2    13
 -2.6962554488606716E-01 a       934     1     1     2    14
 -8.9305140540980810E-01 a       935     1     1     2    15
  9.6259214884912025E-01 a       936     1     1     2    16
  1.2005195741819129E-01 a       937     1     1     2    17
 -7.3198314974003387E-01 a       938     1     1     2    18
  7.1024452311763786E-01 a       939     1     1     2    19
 -8.4311968128147097E-01 a       940     1     1     2    20
  2.2150082464870419E-01 a       941     1     2     2     1
  3.2205706681961721E-01 a       942     1     2     2     2
 -6.3205542937678841E-02 a       943     1     2     2     3
 -1.0607506766704364E+00 a       944     1     2     2     4
 -1.8144890931614482E-01 a       945     1     2     2     5
  1.0413649373594844E-01 a       946     1     2     2     6
 -2.1535336391985974E-01 a       947     1     2     2     7
  7.1595657501510368E-01 a       948     1     2     2     8
  1.7261822942705993E-01 a       949     1     2     2     9
 -2.6426318768754748E-02 a       950     1     2     2    10
  5.7608475811324078E-01 a       951     1     2     2    11
  1.1815451662827965E+00 a       952     1     2     2    12
  1.7930287850714228E+00 a       953     1     2     2    13
 -1.4239324074463533E+00 a       954     1     2     2    14
 -7.4246720290989360E-02 a       955     1     2     2    15
  1.7312914685008225E+00 a       956     1     2     2    16
  1.2858953682236063E+00 a       957     1     2     2    17
  1.3050216419309901E-01 a       958     1     2     2    18
  4.3005885357538653E-01 a       959     1     2     2    19
  2.7713099704979377E-01 a       960     1     2     2    20
 -4.5073835579130989E-01 a       961     1     3     2     1
 -8.4522181601449964E-01 a       962     1     3     2     2
  3.1615055352391208E-01 a       963     1     3     2     3
  2.8355762117935250E+00 a       964     1     3     2     4
 -9.7495144262685407E-02 a       965     1     3     2     5
  4.2154416049671500E-01 a       966     1     3     2     6
  5.1535244762018428E-01 a       967     1     3     2     7
 -1.0627999404963850E+00 a       968     1     3     2     8
  5.8063954782130323E-01 a       969     1     3     2     9
 -6.3869027505218634E-01 a       970     1     3     2    10
 -1.7750564781679685E+00 a       971     1     3     2    11
 -2.9031449752978151E+00 a       972     1     3     2    12
 -3.8787695255284711E+00 a       973     1     3     2    13
  2.7954466188144997E+00 a       974     1     3     2    14
 -6.2959129969523708E-01 a       975     1     3     2    15
 -3.3347007574942356E+00 a       976     1     3     2    16
 -2.1509955550376123E+00 a       977     1     3     2    17
  6.8709612680470600E-02 a       978     1     3     2    18
 -1.1751736000174402E+00 a       979     1     3     2    19
 -4.0174821161490865E-01 a       980     1     3     2    20
 -1.0789080430869438E+00 a       981     1     4     2     1
 -4.1065971480218283E-01 a       982     1     4     2     2
 -6.7628763863037111E-01 a       983     1     4     2     3
  2.7444548077003996E+00 a       984     1     4     2     4
  8.6665488337351348E-01 a       985     1     4     2     5
  5.0969533812054157E-01 a       986     1     4     2     6
  5.8176379751864715E-01 a       987     1     4     2     7
 -1.0741252992251680E+00 a       988     1     4     2     8
  1.1512704646824203E+00 a       989     1     4     2     9
 -1.2486160159637378E+00 a       990     1     4     2    10
 -1.2901240641430622E+00 a       991     1     4     2    11
 -3.0747534223092190E+00 a       992     1     4     2    12
 -3.8598438278347693E+00 a       993     1     4     2    13
  4.2488972434717844E+00 a       994     1     4     2    14
  7.2270036805713389E-01 a       995     1     4     2    15
 -3.1901276106108081E+00 a       996     1     4     2    16
 -1.3835235348320780E+00 a       997     1     4     2    17
  8.7543156457782567E-01 a       998     1     4     2    18
 -9.4517620667241575E-01 a       999     1     4     2    19
  9.3932608237456006E-01 a      1000     1     4     2    20
 -2.6294901761734318E-01 a      1001     1     5     2     1
 -8.4727202338654084E-01 a      1002     1     5     2     2
  3.9265597831451177E-01 a      1003     1     5     2     3
  2.9729613942760178E+00 a      1004     1     5     2     4
  2.0691670152527911E-01 a      1005     1     5     2     5
  5.9761061334191024E-01 a      1006     1     5     2     6
  1.8561610454786182E-01 a      1007     1     5     2     7
 -1.6905720082828526E+00 a      1008     1     5     2     8
  9.8070338438204363E-01 a      1009     1     5     2     9
 -8.8349370807631433E-01 a      1010     1     5     2    10
 -3.4929582644087258E+00 a      1011     1     5     2    11
 -5.3246766895917563E+00 a      1012     1     5     2    12
 -4.4621902044669266E+00 a      1013     1     5     2    13
  6.1566543936208529E+00 a      1014     1     5     2    14
 -6.2243055212576748E-01 a      1015     1     5     2    15
 -3.9628031268313779E+00 a      1016     1     5     2    16
 -2.9368941611570603E+00 a      1017     1     5     2    17
  8.3124377621493539E-01 a      1018     1     5     2    18
 -1.1725904071765608E-01 a      1019     1     5     2    19
  5.6329222860015149E-01 a      1020     1     5     2    20
  3.7821194802426022E-01 a      1021     1     6     2     1
  4.7656032710798230E-01 a      1022     1     6     2     2
  1.3738459714176190E-01 a      1023     1     6     2     3
 -2.2798661281477717E+00 a      1024     1     6     2     4
 -1.8010572315491269E-01 a      1025     1     6     2     5
 -3.7113885308692274E-01 a      1026     1     6     2     6
 -3.4625047896134215E-01 a      1027     1     6     2     7
  1.2948122766451529E+00 a      1028     1     6     2     8
 -4.6829218004850653E-01 a      1029     1     6     2     9
  8.7309676033053119E-01 a      1030     1     6     2    10
  1.6387992587818192E+00 a      1031     1     6     2    11
  2.9985554292303060E+00 a      1032     1     6     2    12
  2.4704258401142445E+00 a      1033     1     6     2    13
 -3.0122038246263720E+00 a      1034     1     6     2    14
 -3.5476770242384281E-01 a      1035     1     6     2    15
  2.4763466552734452E+00 a      1036     1     6     2    16
  1.3484943662666140E+00 a      1037     1     6     2    17
 -6.9721803791067372E-01 a      1038     1     6     2    18
  4.2168171566699825E-01 a      1039     1     6     2    19
 -3.7252477747407869E-01 a      1040     1     6     2    20
 -1.8827432987694101E-01 a      1041     1     7     2     1
  2.6456720958257289E-02 a      1042     1     7     2     2
