################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.5837409401690831E-01 a       117     0     6     1    17
  1.7994070121105583E+00 a       118     0     6     1    18
 -4.8293894171114360E-01 a       119     0     6     1    19
 -2.9508397209531295E-01 a       120     0     6     1    20
 -1.2131832437719055E+00 a       121     0     7     1     1
  4.4465290830800419E-01 a       122     0     7     1     2
 -4.5225064172208673E-01 a       123     0     7     1     3
  1.2799429305370911E+00 a       124     0     7     1     4
  2.8600682399939061E+00 a       125     0     7     1     5
 -1.9752765215633905E+00 a       126     0     7     1     6
 -4.1544630007809305E-04 a       127     0     7     1     7
 -2.5823783105757814E-01 a       128     0     7     1     8
 -3.1579790130404806E-01 a       129     0     7     1     9
  5.5815834036177070E-01 a       130     0     7     1    10
 -1.8550097743474145E-01 a       131     0     7     1    11
  1.1688896964285474E-03 a       132     0     7     1    12
 -5.5204396620871188E-01 a       133     0     7     1    13
 -2.8081540109155329E-02 a       134     0     7     1    14
  1.1172179957417885E-02 a       135     0     7     1    15
  2.0666126543358523E+00 a       136     0     7     1    16
 -3.8906219774109668E-01 a       137     0     7     1    17
  1.8101313478994581E+00 a       138     0     7     1    18
 -6.5162372176059835E-01 a       139     0     7     1    19
  2.4351506374099868E-01 a       140     0     7     1    20
 -1.2592439756215970E+00 a       141     0     8     1     1
  8.6951646706594068E-02 a       142     0     8     1     2
 -5.7161972272477628E-04 a       143     0     8     1     3
  6.6514573913266939E-01 a       144     0     8     1     4
  2.5527627370966015E+00 a       145     0     8     1     5
 -1.7682973967499365E+00 a       146     0     8     1     6
