################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421433910280097E+00
         1          2  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434729016312E+00
         1          3  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434561134699E+00
         1          4  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434729016299E+00
         1          5  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435547753430E+00
         1          6  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872172E+00
         1          7  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434561134699E+00
         1          8  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872161E+00
         1          9  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435211991110E+00
         1         10  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434729016287E+00
         1         11  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435547753414E+00
         1         12  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872168E+00
         1         13  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435547753412E+00
         1         14  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436366491512E+00
         1         15  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436198610565E+00
         1         16  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872150E+00
         1         17  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436198610567E+00
         1         18  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436030729773E+00
         1         19  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434561134670E+00
         1         20  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872157E+00
         1         21  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435211991103E+00
         1         22  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435379872137E+00
         1         23  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436198610523E+00
         1         24  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436030729800E+00
         1         25  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435211991121E+00
         1         26  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436030729780E+00
         1         27  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435862849257E+00
         1         28  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435365890983E+00
         1         29  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808841E+00
         1         30  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148418E+00
         1         31  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808837E+00
         1         32  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421433857727084E+00
         1         33  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652066019E+00
         1         34  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148380E+00
         1         35  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652066012E+00
         1         36  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435446406257E+00
         1         37  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436184628536E+00
         1         38  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545951E+00
         1         39  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886573E+00
         1         40  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545948E+00
         1         41  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434676463647E+00
         1         42  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803703E+00
         1         43  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886555E+00
         1         44  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803703E+00
         1         45  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436265145001E+00
         1         46  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436016747420E+00
         1         47  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664708E+00
         1         48  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005724E+00
         1         49  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664704E+00
         1         50  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434508582319E+00
         1         51  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922728E+00
         1         52  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005728E+00
         1         53  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922716E+00
         1         54  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436097264458E+00
         1         55  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435365890996E+00
         1         56  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808810E+00
         1         57  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148411E+00
         1         58  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436184628571E+00
         1         59  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545942E+00
         1         60  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886555E+00
         1         61  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436016747442E+00
         1         62  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664662E+00
         1         63  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005715E+00
         1         64  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808841E+00
         1         65  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421433857727027E+00
         1         66  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652066001E+00
         1         67  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545944E+00
         1         68  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434676463619E+00
         1         69  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803677E+00
         1         70  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664684E+00
         1         71  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434508582270E+00
         1         72  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922732E+00
         1         73  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148398E+00
         1         74  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652065986E+00
         1         75  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435446406224E+00
         1         76  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886544E+00
         1         77  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803672E+00
         1         78  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436265145007E+00
         1         79  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005697E+00
         1         80  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922710E+00
         1         81  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436097264444E+00
         1         82  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435365891020E+00
         1         83  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436184628629E+00
         1         84  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436016747429E+00
         1         85  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808835E+00
         1         86  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545977E+00
         1         87  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664666E+00
         1         88  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148393E+00
         1         89  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886577E+00
         1         90  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005704E+00
         1         91  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434611808855E+00
         1         92  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435430545986E+00
         1         93  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435262664708E+00
         1         94  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421433857727091E+00
         1         95  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434676463652E+00
         1         96  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434508582301E+00
         1         97  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652066001E+00
         1         98  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803694E+00
         1         99  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922728E+00
         1        100  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435406148404E+00
         1        101  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436224886602E+00
         1        102  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436057005704E+00
         1        103  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421434652065997E+00
         1        104  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435470803694E+00
         1        105  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435302922714E+00
         1        106  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421435446406253E+00
         1        107  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436265145036E+00
         1        108  18   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.7421436097264451E+00
